SL.,Station,Year,Month,Date,Temperature (maximum),Temperature(minimum),Temperature(Average),Rainfall(mm),Humidity(percentage)
173,Sylhet (10705),1984,5,1/5/1984,28.7,22.23,25.465,900,86.45
174,Sylhet (10705),1984,6,1/6/1984,32.33,25.23,28.78,596,83.03
175,Sylhet (10705),1984,7,1/7/1984,31.15,24.63,27.89,820,87.48
176,Sylhet (10705),1984,8,1/8/1984,32.77,25.02,28.895,336,83.45
177,Sylhet (10705),1984,9,1/9/1984,30.19,23.37,26.78,801,87.13
178,Sylhet (10705),1984,10,1/10/1984,30.82,22.55,26.685,300,84.68
179,Sylhet (10705),1984,11,1/11/1984,29.01,17.04,23.025,23,71.93
180,Sylhet (10705),1984,12,1/12/1984,25.41,12.93,19.17,48,76.71
181,Sylhet (10705),1985,1,1/1/1985,25.04,12.65,18.845,0,72.45
182,Sylhet (10705),1985,2,1/2/1985,26.61,14.51,20.56,27,67.14
183,Sylhet (10705),1985,3,1/3/1985,29.61,20.32,24.965,208,77.23
184,Sylhet (10705),1985,4,1/4/1985,30.34,21.25,25.795,541,80.57
185,Sylhet (10705),1985,5,1/5/1985,31.61,22.58,27.095,368,80.48
186,Sylhet (10705),1985,6,1/6/1985,30.67,24.13,27.4,1083,87.67
187,Sylhet (10705),1985,7,1/7/1985,31,24.34,27.67,670,87.23
188,Sylhet (10705),1985,8,1/8/1985,32.14,25.13,28.635,382,85.55
189,Sylhet (10705),1985,9,1/9/1985,31.2,24.05,27.625,596,87.4
190,Sylhet (10705),1985,10,1/10/1985,31.84,22.09,26.965,114,80.42
191,Sylhet (10705),1985,11,1/11/1985,29.19,17.23,23.21,0,74.13
192,Sylhet (10705),1985,12,1/12/1985,26.44,14.3,20.37,22,72.74
193,Sylhet (10705),1986,1,1/1/1986,25.34,13.1,19.22,4,74.32
194,Sylhet (10705),1986,2,1/2/1986,27.75,13.37,20.56,2,63.36
195,Sylhet (10705),1986,3,1/3/1986,31.7,16.92,24.31,41,56.84
196,Sylhet (10705),1986,4,1/4/1986,29.86,19.32,24.59,380,78.03
197,Sylhet (10705),1986,5,1/5/1986,32.37,21.22,26.795,170,76.19
198,Sylhet (10705),1986,6,1/6/1986,33.07,24.27,28.67,449,83.03
199,Sylhet (10705),1986,7,1/7/1986,31.27,23.4,27.335,646,88.16
200,Sylhet (10705),1986,8,1/8/1986,32.24,23.3,27.77,586,87.23
201,Sylhet (10705),1986,9,1/9/1986,29.86,22.48,26.17,494,88.43
202,Sylhet (10705),1986,10,1/10/1986,29.42,20.05,24.735,454,83.77
203,Sylhet (10705),1986,11,1/11/1986,28.53,17.02,22.775,106,79.03
204,Sylhet (10705),1986,12,1/12/1986,25.95,13.1,19.525,2,74.58
205,Sylhet (10705),1987,1,1/1/1987,26.33,12.11,19.22,2,71.39
